,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
As of:,"Aug 31, 2021",,,,,,,,
,,,,,,,,,
,,,,,,,,,
Effective date ,S&P 500 (TR),,Mean return in 2018,-0.16%,,,,,
31/08/18,5730.8,,Mean return in 2019,0.11%,,,,,
04/09/18,5721.86,-0.16%,Mean return in 2020,0.09%,,,,,
05/09/18,5705.86,-0.28%,Mean reaturn 2018 to most recent data,0.08%,,,,,
06/09/18,5686.7,-0.34%,Mean reaturn in the last week,0.26%,,,,,
07/09/18,5674.58,-0.21%,,,,,,,
10/09/18,5685.34,0.19%,,,,,,,
11/09/18,5706.99,0.38%,,,,,,,
12/09/18,5709.08,0.04%,,,,,,,
13/09/18,5740.75,0.55%,,,,,,,
14/09/18,5743.19,0.04%,,,,,,,
17/09/18,5711.29,-0.56%,,,,,,,
18/09/18,5742.18,0.54%,,,,,,,
19/09/18,5749.39,0.13%,,,,,,,
20/09/18,5794.72,0.79%,,,,,,,
21/09/18,5792.72,-0.03%,,,,,,,
24/09/18,5772.36,-0.35%,,,,,,,
25/09/18,5765.25,-0.12%,,,,,,,
26/09/18,5746.27,-0.33%,,,,,,,
27/09/18,5763.22,0.29%,,,,,,,
28/09/18,5763.42,0.00%,,,,,,,
01/10/18,5784.45,0.36%,,,,,,,
02/10/18,5782.37,-0.04%,,,,,,,
03/10/18,5786.48,0.07%,,,,,,,
04/10/18,5740.56,-0.79%,,,,,,,
05/10/18,5708.9,-0.55%,,,,,,,
08/10/18,5706.66,-0.04%,,,,,,,
09/10/18,5700.23,-0.11%,,,,,,,
10/10/18,5512.94,-3.29%,,,,,,,
11/10/18,5399.54,-2.06%,,,,,,,
12/10/18,5476.83,1.43%,,,,,,,
15/10/18,5444.61,-0.59%,,,,,,,
16/10/18,5561.8,2.15%,,,,,,,
17/10/18,5560.62,-0.02%,,,,,,,
18/10/18,5481.13,-1.43%,,,,,,,
19/10/18,5479.3,-0.03%,,,,,,,
22/10/18,5455.88,-0.43%,,,,,,,
23/10/18,5426.08,-0.55%,,,,,,,
24/10/18,5258.61,-3.09%,,,,,,,
25/10/18,5356.54,1.86%,,,,,,,
26/10/18,5263.74,-1.73%,,,,,,,
29/10/18,5229.28,-0.65%,,,,,,,
30/10/18,5311.67,1.58%,,,,,,,
31/10/18,5369.49,1.09%,,,,,,,
01/11/18,5426.33,1.06%,,,,,,,
02/11/18,5392.53,-0.62%,,,,,,,
05/11/18,5422.88,0.56%,,,,,,,
06/11/18,5457.25,0.63%,,,,,,,
07/11/18,5573.06,2.12%,,,,,,,
08/11/18,5562,-0.20%,,,,,,,
09/11/18,5511.79,-0.90%,,,,,,,
12/11/18,5403.19,-1.97%,,,,,,,
13/11/18,5395.37,-0.14%,,,,,,,
14/11/18,5355.94,-0.73%,,,,,,,
15/11/18,5414.43,1.09%,,,,,,,
16/11/18,5426.86,0.23%,,,,,,,
19/11/18,5336.7,-1.66%,,,,,,,
20/11/18,5240.23,-1.81%,,,,,,,
21/11/18,5256.61,0.31%,,,,,,,
23/11/18,5222.43,-0.65%,,,,,,,
26/11/18,5304.17,1.57%,,,,,,,
27/11/18,5321.52,0.33%,,,,,,,
